,Unnamed: 0,Unnamed: 0.1,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
169,169,169,4-May-2020,361.4,361.4,336.05,338.25,344.84489150850374,1510994,34898,521058562.0,702451,46.49,25.35,-23.15
170,170,170,30-April-2020,380.4,392.8,374.4,379.9,384.3728164024417,1243132,17630,477826148.0,280578,22.57,18.4,-0.5
171,171,171,29-April-2020,354.8,376.4,351.75,370.25,364.5204033784642,1386192,20932,505295267.0,407933,29.43,24.65,15.45
172,172,172,28-April-2020,353.7,362.75,350.3,359.7,357.1873579581781,1173070,14925,419005774.0,304689,25.97,12.45,6.0
173,173,173,27-April-2020,339.1,352.8,338.3,347.75,345.9628922416732,1232276,18105,426321769.0,375885,30.5,14.5,8.65
174,174,174,24-April-2020,339.4,343.05,331.65,334.85,337.4385491526353,1603973,23854,541242322.0,462974,28.86,11.4,-4.55
175,175,175,23-April-2020,338.3,354.6,338.3,352.8,346.17318738092797,2045507,18847,708099678.0,212429,10.39,16.3,14.5
176,176,176,22-April-2020,327.4,338.0,323.0,336.1,327.818763180887,2655360,20005,870476831.0,1230633,46.35,15.0,8.7
177,177,177,21-April-2020,340.0,346.3,328.25,331.55,336.7483698466573,3916196,34407,1318772619.0,2143528,54.73,18.05,-8.45
178,178,178,20-April-2020,377.4,378.9,357.2,361.5,370.3362400940129,1991220,34127,737420928.0,364671,18.31,21.7,-15.9
179,179,179,17-April-2020,358.0,389.7,349.1,375.95,362.01971029720454,2957997,47722,1070853217.0,454936,15.38,40.6,17.95
180,180,180,16-April-2020,325.0,347.6,319.35,342.1,336.4647980550696,2083365,34164,700978984.0,337434,16.2,28.25,17.1
181,181,181,15-April-2020,341.05,351.9,325.05,327.3,340.878039058634,2649299,31883,903087848.0,725375,27.38,26.85,-13.75
182,182,182,13-April-2020,339.95,345.8,329.45,330.85,335.5456933260369,1487482,19071,499118179.0,242525,16.3,16.35,-9.1
183,183,183,9-April-2020,330.0,344.95,322.7,342.65,334.8273459107512,1910143,27263,639568111.0,293662,15.37,22.25,12.65
184,184,184,8-April-2020,320.0,352.5,315.2,319.0,329.26560070710065,3516331,43653,1157806839.0,1112538,31.64,37.3,-1.0
185,185,185,7-April-2020,306.3,329.45,296.95,326.1,312.33871602509436,2360529,28370,737284597.0,368823,15.62,32.5,19.8
